VACUNA,ANIO,MES,PROVINCIA,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,UBIGEO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
APO,2019,JUNIO,PADRE ABAD,<1_ANIO,48,6037,1235133,35,250300,0.143,0.5,0.905,0.274
APO,2019,MARZO,CORONEL PORTILLO,<1_ANIO,932,5690,1003216,231,250100,0.222,0.214,5.727,0.415
APO,2019,MARZO,PADRE ABAD,<1_ANIO,54,6037,1003216,30,250300,0.364,0.056,0.358,0.762
APO,2019,MAYO,CORONEL PORTILLO,<1_ANIO,881,5690,1030125,223,250100,0.24,0.439,39.428,0.273
APO,2019,MAYO,PADRE ABAD,<1_ANIO,52,6037,1030125,35,250300,0.212,0.27,1.58,0.291
APO,2019,NOVIEMBRE,CORONEL PORTILLO,<1_ANIO,886,5690,1813790,194,250100,0.26,0.31,14.911,0.287
APO,2019,NOVIEMBRE,PADRE ABAD,<1_ANIO,50,6037,1813790,40,250300,0.091,0.5,1.278,0.133
APO,2019,OCTUBRE,CORONEL PORTILLO,<1_ANIO,932,5690,619318,227,250100,0.19,0.5,22.11,0.262
APO,2019,OCTUBRE,PADRE ABAD,<1_ANIO,54,6037,619318,37,250300,0.296,0.176,0.331,0.232
APO,2019,SETIEMBRE,CORONEL PORTILLO,<1_ANIO,892,5690,85800,264,250100,0.118,0.488,50.979,0.239
APO,2019,SETIEMBRE,PADRE ABAD,<1_ANIO,51,6037,85800,35,250300,0.154,0.5,0.528,0.133
APO,2020,ABRIL,ATALAYA,<1_ANIO,136,2435,815151,12,250200,0.314,0.75,0.0,0.0
APO,2020,ABRIL,CORONEL PORTILLO,<1_ANIO,1248,5742,815151,28,250100,0.278,0.348,0.0,0.0
APO,2020,ABRIL,PADRE ABAD,<1_ANIO,178,6159,815151,8,250300,0.336,0.115,0.0,0.0
APO,2020,ABRIL,PURUS,<1_ANIO,18,3284,815151,3,250400,0.0,0.0,0.0,0.0
APO,2020,AGOSTO,ATALAYA,<1_ANIO,146,2435,725676,24,250200,0.615,0.0,0.0,0.0
APO,2020,AGOSTO,CORONEL PORTILLO,<1_ANIO,1379,5742,725676,440,250100,0.287,0.25,0.0,0.0
APO,2020,AGOSTO,PADRE ABAD,<1_ANIO,209,6159,725676,53,250300,0.416,0.163,0.0,0.0
APO,2020,AGOSTO,PURUS,<1_ANIO,17,3284,725676,4,250400,0.636,0.0,0.0,0.0
APO,2020,DICIEMBRE,ATALAYA,<1_ANIO,172,2435,161316,56,250200,0.25,0.0,0.117,0.389
APO,2020,DICIEMBRE,CORONEL PORTILLO,<1_ANIO,1423,5742,161316,507,250100,0.173,0.577,1.657,0.349
APO,2020,DICIEMBRE,PADRE ABAD,<1_ANIO,218,6159,161316,103,250300,0.306,0.381,0.631,0.124
APO,2020,DICIEMBRE,PURUS,<1_ANIO,17,3284,161316,5,250400,0.0,0.0,0.0,0.0
APO,2020,ENERO,ATALAYA,<1_ANIO,129,2435,777891,57,250200,0.13,0.556,0.56,0.06
APO,2020,ENERO,CORONEL PORTILLO,<1_ANIO,1239,5742,777891,500,250100,0.143,0.411,7.049,0.269
APO,2020,ENERO,PADRE ABAD,<1_ANIO,183,6159,777891,108,250300,0.277,0.302,2.883,0.29
APO,2020,ENERO,PURUS,<1_ANIO,17,3284,777891,5,250400,0.0,0.0,0.0,0.0
APO,2020,FEBRERO,ATALAYA,<1_ANIO,130,2435,761802,41,250200,0.128,0.444,0.41,0.153
APO,2020,FEBRERO,CORONEL PORTILLO,<1_ANIO,1248,5742,761802,448,250100,0.176,0.516,23.346,0.212
APO,2020,FEBRERO,PADRE ABAD,<1_ANIO,185,6159,761802,84,250300,0.378,0.179,0.635,0.181
APO,2020,FEBRERO,PURUS,<1_ANIO,17,3284,761802,4,250400,0.31,0.0,0.125,0.083
APO,2020,JULIO,ATALAYA,<1_ANIO,129,2435,804264,30,250200,0.385,0.333,0.0,0.0
APO,2020,JULIO,CORONEL PORTILLO,<1_ANIO,1239,5742,804264,430,250100,0.295,0.294,0.0,0.0
APO,2020,JULIO,PADRE ABAD,<1_ANIO,183,6159,804264,68,250300,0.542,0.125,0.0,0.0
APO,2020,JULIO,PURUS,<1_ANIO,17,3284,804264,3,250400,0.0,0.0,0.0,0.0
APO,2020,JUNIO,ATALAYA,<1_ANIO,135,2435,718822,18,250200,0.619,0.111,0.0,0.0
