VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
APO2,2021,MARZO,4_ANIOS,1824,2501,1269741,245,0.27666666666666667,0.27266666666666667,0.4446666666666667,1.0446666666666666
APO2,2021,MAYO,4_ANIOS,1869,2501,694026,282,0.23866666666666667,0.26333333333333336,0.322,0.205
APO2,2021,NOVIEMBRE,4_ANIOS,1939,2501,811749,220,0.21,0.217,10.665666666666668,1.273
APO2,2021,OCTUBRE,4_ANIOS,1875,2501,612818,230,0.33666666666666667,0.31766666666666665,3.731333333333333,0.5553333333333333
APO2,2021,SETIEMBRE,4_ANIOS,1903,2501,681661,271,0.24266666666666667,0.266,0.38766666666666666,0.18533333333333335
APO2,2022,ABRIL,4_ANIOS,2042,2564,748576,296,0.16366666666666665,0.21366666666666667,12.200000000000001,0.5693333333333334
APO2,2022,AGOSTO,4_ANIOS,1923,2564,779177,234,0.20766666666666667,0.40066666666666667,6.354333333333333,0.12233333333333334
APO2,2022,DICIEMBRE,4_ANIOS,2204,2564,996898,196,0.20633333333333334,0.158,18.314333333333334,0.18300000000000002
APO2,2022,ENERO,4_ANIOS,1970,2564,684081,323,0.2376666666666667,0.248,20.751333333333335,1.7856666666666667
APO2,2022,FEBRERO,4_ANIOS,1993,2564,910655,321,0.17266666666666666,0.17800000000000002,0.25666666666666665,0.6346666666666666
APO2,2022,JULIO,4_ANIOS,2028,2564,1104057,165,0.18466666666666667,0.33966666666666673,4.626,0.2803333333333334
APO2,2022,JUNIO,4_ANIOS,2017,2564,709615,188,0.206,0.4653333333333333,0.8066666666666666,0.20566666666666666
APO2,2022,MARZO,4_ANIOS,2027,2564,784465,322,0.162,0.2793333333333334,11.613333333333332,0.5706666666666667
APO2,2022,MAYO,4_ANIOS,2014,2564,760212,247,0.25,0.126,10.295333333333334,0.518
APO2,2022,NOVIEMBRE,4_ANIOS,2204,2564,677800,321,0.231,0.14766666666666667,21.543666666666667,0.16166666666666665
APO2,2022,OCTUBRE,4_ANIOS,2204,2564,541898,249,0.23766666666666666,0.29633333333333334,5.5376666666666665,0.731
APO2,2022,SETIEMBRE,4_ANIOS,2016,2564,694132,229,0.25166666666666665,0.37000000000000005,6.698666666666667,0.3256666666666667
APO_REF,2019,ABRIL,1_ANIO,986,5690,998497,200,0.14450000000000002,0.597,0.877,0.313
APO_REF,2019,AGOSTO,1_ANIO,933,5690,3650033,68,0.19,0.47950000000000004,3.2899999999999996,0.16749999999999998
APO_REF,2019,DICIEMBRE,1_ANIO,937,5690,1953340,151,0.197,0.43500000000000005,19.6735,0.21150000000000002
APO_REF,2019,ENERO,1_ANIO,924,5690,924269,156,0.1985,0.362,0.887,0.269
APO_REF,2019,FEBRERO,1_ANIO,871,5690,1000320,173,0.1965,0.106,6.9725,0.15
APO_REF,2019,JULIO,1_ANIO,986,5690,1352080,125,0.29200000000000004,0.3685,14.760000000000002,0.21200000000000002
APO_REF,2019,JUNIO,1_ANIO,937,5690,1235133,166,0.186,0.438,2.0895,0.21750000000000003
APO_REF,2019,MARZO,1_ANIO,986,5690,1003216,163,0.293,0.135,3.0425,0.5885
APO_REF,2019,MAYO,1_ANIO,933,5690,1030125,184,0.22599999999999998,0.35450000000000004,20.503999999999998,0.28200000000000003
APO_REF,2019,NOVIEMBRE,1_ANIO,936,5690,1813790,136,0.1755,0.405,8.0945,0.21
APO_REF,2019,OCTUBRE,1_ANIO,986,5690,619318,176,0.243,0.33799999999999997,11.2205,0.247
APO_REF,2019,SETIEMBRE,1_ANIO,943,5690,85800,236,0.136,0.494,25.7535,0.186
APO_REF,2020,ABRIL,1_ANIO,1562,2435,815151,31,0.30933333333333335,0.4043333333333334,0.0,0.0
APO_REF,2020,AGOSTO,1_ANIO,1734,2435,725676,380,0.43933333333333335,0.1376666666666667,0.0,0.0
